id,title,type,description,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,actors,characters,director
tm352951,"['smaller', 'circle']",MOVIE,"['serial', 'killer', 'payatas', 'leaf', 'body', 'young', 'boy', 'dump', 'two', 'jesuit', 'priest', 'try', 'solve', 'murder']",MEDIUM,3.0,111,"['crime', 'thriller']",['PH'],,tt7512304,6.7,239.0,1.444,6.2,"['nonie buencamino', 'sid lucero', 'bembol roco', 'madeleine humphries', 'tj trinidad', 'gladys reyes', 'christopher de leon', 'jess mendoza', 'ricky davao', 'alex vincent medina', 'cholo barretto', 'raffy tejada', 'erlinda villalobos', 'jun jun quintana']","['father gus', 'father jerome', 'nbi director francisco lastimosa', 'joanna bonifacio', 'nan', 'nan', 'nbi deputy director phillip mapa', 'nan', 'nan', 'nan', 'nan', 'atty benjamin arcinas', 'nan', 'nan']",['raya martin']
tm354136,"['el', 'especial', 'de', 'alex', 'fernndez']",MOVIE,"['mexico', 'city', 'theme', 'park', 'energetic', 'standup', 'alex', 'fernndez', 'riff', 'music', 'cheap', 'toy', 'insecurity', 'fun', 'thing', 'growing']",MEDIUM,3.0,52,['comedy'],['MX'],,tt7520228,6.7,74.0,0.954,6.7,['alex fernndez'],['himself'],"['ral campos', 'jan suter']"
tm447514,"['vir', 'da', 'losing']",MOVIE,"['world', 'got', 'lot', 'problem', 'vir', 'da', 'answer', 'discus', 'travel', 'religion', 'childhood', 'standup', 'special']",MEDIUM,3.0,67,['comedy'],['US'],,tt9315848,7.0,1254.0,2.349,7.6,['vir das'],['himself'],['marcus raboy']
tm374395,"['vanjagar', 'ulagam']",MOVIE,"['woman', 'murdered', 'neighbour', 'picked', 'suspect', 'meanwhile', 'journalist', 'belief', 'use', 'murder', 'lure', 'elusive', 'gangster', 'help', 'guy', 'former', 'accomplice']",MEDIUM,3.0,161,"['thriller', 'action', 'crime', 'drama']",['IN'],,tt7933564,6.1,258.0,1.4,4.8,"['guru somasundaram', 'ciby bhuvana chandran', 'vishagan sulur vanangamudi', 'anisha ambrose', 'chandhini tamilarasan', 'n azhagamperumal', 'john vijay', 'vasu vikram', 'hareesh peradi', 'jayaprakash radhakrishnan', 'pitchaikaran moorthy', 'pandian', 'preethi kitchappan', 'ramji']","['sampath', 'shanmugam aka sam', 'vishagan', 'samyuktha', 'mythili', 'mahalingam', 'maaran', 'neela megam', 'nan', 'nan', 'nan', 'nan', 'dr renuka devi', 'nan']",['manoj beedha']
tm376844,"['penalty', 'kick']",MOVIE,"['far', 'soccer', 'fan', 'go', 'beloved', 'national', 'team', 'mariano', 'crdenas', 'risk', 'job', 'wife', 'family', 'support', 'world', 'cup', 'qualifier']",MEDIUM,3.0,89,['comedy'],"['MX', 'CO']",,tt8007436,3.7,283.0,5.405,5.3,"['adrin uribe', 'jos sefami', 'carlos manuel vesga', 'julieth restrepo', 'alicia sandoval']","['mariano', 'to pedro', 'poncho', 'luz dary', 'dolores']",['rodrigo triana']
tm426238,['pulang'],MOVIE,"['1940s', 'malay', 'worldrenowned', 'seafaring', 'skill', 'bugis', 'descent', 'navigated', 'sea', 'natural', 'ease', 'often', 'favored', 'seaman', 'international', 'shipping', 'line', 'othman', 'fisherman', 'small', 'village', 'malacca', 'leaf', 'family', 'behind', 'sail', 'world', 'hope', 'return', 'home', 'one', 'day', 'worldly', 'rich', 'deserved', 'pride', 'decade', 'however', 'low', 'wage', 'deckhand', 'leaf', 'disillusioned', 'contemplates', 'returning', 'ended', 'settling', 'liverpool', 'england', '60', 'year', 'later', 'grandson', 'ahmad', 'journey', 'halfway', 'across', 'search', 'grandfather']",MEDIUM,2.5,120,"['romance', 'drama', 'action']",['MY'],,tt8595708,6.7,594.0,2.151,5.9,"['remy ishak', 'puteri aishah', 'alvin wong', 'azrel ismail', 'erwin dawson', 'juliana evans', 'jalaluddin hassan', 'dato rahim razali', 'sherry al jeffry', 'aida khalida', 'naza  abdul manas', 'akmal ahmad', 'syazuwan hassan']","['othman', 'thom', 'lum', 'omar', 'ahmad', 'alia', 'omar 50s', 'jamil', 'thom 70s', 'jaybah', 'taib', 'karim', 'cikgu hassan']",['kabir bhatia']
tm346390,"['brad', 'paisley', 'comedy', 'rodeo']",MOVIE,"['country', 'music', 'star', 'brad', 'paisley', 'host', 'night', 'laugh', 'comic', 'nate', 'bargatze', 'john', 'heffron', 'jon', 'reep', 'sarah', 'tiana', 'mike', 'e', 'winfield']",MEDIUM,3.0,63,['comedy'],['US'],,tt6794448,5.7,155.0,1.4,6.5,"['brad paisley', 'nate bargatze']","['nan', 'nan']",['jay chapman']
tm369315,['garbage'],MOVIE,"['taxi', 'driver', 'phanishwar', 'living', 'mysterious', 'girl', 'nanaam', 'keep', 'chain', 'medical', 'student', 'ramus', 'victim', 'revenge', 'porn', 'leaked', 'online', 'exboyfriend', 'seek', 'refuge', 'goa', 'stumble', 'strange', 'placid', 'life']",MEDIUM,3.0,105,"['thriller', 'drama']",['IN'],,tt7981260,3.7,1016.0,1.112,4.2,"['tanmay dhanania', 'trimala adhikari', 'satarupa das', 'gitanjali dang', 'shruti viswan', 'satchit puranik']","['phanishwar', 'rami', 'nanaam', 'simone', 'arri', 'baba satchitanand']",['qaushiq mukherjee']
tm320756,"['tracy', 'morgan', 'staying', 'alive']",MOVIE,"['first', 'special', 'since', 'serious', 'car', 'accident', 'tracy', 'morgan', 'crack', 'joke', 'life', 'coma', 'second', 'marriage', 'family', 'dark', 'side']",MEDIUM,4.0,60,['comedy'],['XX'],,tt6680270,6.3,1206.0,2.077,6.4,['tracy morgan'],['himself'],['ryan polito']
tm345225,['gurgaon'],MOVIE,"['real', 'estate', 'baron', 'kehri', 'singh', 'manages', 'preet', 'run', 'daughter', 'name', 'considers', 'lucky', 'mascot', 'sidelined', 'insulted', 'nikki', 'ignored', 'father', 'considered', 'insolent', 'useless', 'unlucky', 'order', 'pay', 'huge', 'debt', 'local', 'criminal', 'set', 'chilling', 'event', 'force', 'revisit', 'dark', 'past', 'confront', 'brutal', 'truth']",MEDIUM,3.0,107,"['crime', 'thriller']",['IN'],,tt4699202,6.5,2216.0,2.95,5.0,"['akshay oberoi', 'pankaj tripathi', 'ragini khanna', 'shalini vatsa', 'aamir bashir', 'srinivas sunderrajan']","['nikki', 'kehri singh', 'preet', 'karma devi', 'hooda', 'anand murthy']",['shanker raman']
